LineName,TrainNumber,StationCode,Direction,Destination
R,1,R04,forward,G33
G,1,R04,forward,G33
B,1,R04,forward,G33
R,2,R02,backward,R01
G,2,R02,backward,R01
B,2,R02,backward,R01
R,3,R12,forward,G33
G,3,R12,forward,G33
B,3,R12,forward,G33
R,4,R10,backward,R01
G,4,R10,backward,R01
B,4,R10,backward,R01
