LineName,TrainNumber,StationCode,Direction,Destination
R,1,R17,forward,G33
G,1,R27,forward,G33
B,1,R16,forward,G33
R,2,R32,backward,R01
G,2,R12,backward,R01
B,2,R34,backward,R01
R,3,R25,forward,G33
G,3,R02,forward,G33
B,3,R24,forward,G33
R,4,R40,backward,R01
G,4,R20,backward,R01
B,4,R42,backward,R01
