LineName,TrainNumber,StationCode,Direction,Destination
R,1,R09,forward,G33
G,1,R19,forward,G33
B,1,R08,forward,G33
R,2,R40,backward,R01
G,2,R20,backward,R01
B,2,R42,backward,R01
R,3,R17,forward,G33
G,3,R27,forward,G33
B,3,R16,forward,G33
R,4,R05,backward,R01
G,4,R28,backward,R01
B,4,R06,backward,R01
