LineName,TrainNumber,StationCode,Direction,Destination
R,1,R36,forward,G33
G,1,R13,forward,G33
B,1,R35,forward,G33
R,2,R13,backward,R01
G,2,R26,backward,R01
B,2,R15,backward,R01
R,3,R01,forward,G33
G,3,R21,forward,G33
B,3,R43,forward,G33
R,4,R21,backward,R01
G,4,R01,backward,R01
B,4,R23,backward,R01
