LineName,TrainNumber,StationCode,Direction,Destination
R,1,R26,forward,G33
G,1,R03,forward,G33
B,1,R25,forward,G33
R,2,R23,backward,R01
G,2,R03,backward,R01
B,2,R25,backward,R01
R,3,R34,forward,G33
G,3,R11,forward,G33
B,3,R33,forward,G33
R,4,R31,backward,R01
G,4,R11,backward,R01
B,4,R33,backward,R01
