LineName,TrainNumber,StationCode,Direction,Destination
R,1,R35,forward,G33
G,1,R02,forward,G33
B,1,R35,forward,G33
R,2,R14,backward,R01
G,2,R04,backward,R01
B,2,R15,backward,R01
R,3,R43,forward,G33
G,3,R10,forward,G33
B,3,R43,forward,G33
R,4,R22,backward,R01
G,4,R12,backward,R01
B,4,R23,backward,R01
