LineName,TrainNumber,StationCode,Direction,Destination
R,1,R23,forward,G33
G,1,R23,forward,G33
B,1,R23,forward,G33
R,2,R26,backward,R01
G,2,R16,backward,R01
B,2,R27,backward,R01
R,3,R31,forward,G33
G,3,R31,forward,G33
B,3,R31,forward,G33
R,4,R34,backward,R01
G,4,R24,backward,R01
B,4,R35,backward,R01
